s,prefL,alts,group
http://ec.europa.eu/esco/occupation/20984,Newspaper delivery person,Newspaper deliverer,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/16696,Newspaper distributor,,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/21178,Night porter,,http://ec.europa.eu/esco/isco2008/Concept/C4226
http://ec.europa.eu/esco/occupation/21176,Night receptionist,,http://ec.europa.eu/esco/isco2008/Concept/C4224
http://ec.europa.eu/esco/occupation/16574,Odd-job man,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/20901,Office caretaker,,http://ec.europa.eu/esco/isco2008/Concept/C4226
http://ec.europa.eu/esco/occupation/22617,Office cashier,,http://ec.europa.eu/esco/isco2008/Concept/C5230
http://ec.europa.eu/esco/occupation/17344,Office cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/20896,Office messenger,,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/21236,Office receptionist,,http://ec.europa.eu/esco/isco2008/Concept/C4226
http://ec.europa.eu/esco/occupation/16455,Operations engineer (buildings),"Operations engineer, buildings",http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/17541,Operations manager (buildings),"Operations manager, buildings",http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/20065,Operations manager (property),"Operations manager, real estate",http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/17530,Operations technician (buildings),"Operations technician, buildings",http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/20967,Page,,http://ec.europa.eu/esco/isco2008/Concept/C5162
http://ec.europa.eu/esco/occupation/20973,Paper distributor,,http://ec.europa.eu/esco/isco2008/Concept/C9621
