http://ec.europa.eu/esco/skill/20415,Business development,Business administrator-Quality auditor-Quality coordination adviser-Household adviser
http://ec.europa.eu/esco/skill/16955,Business intelligence,Business administrator-Quality coordination adviser-Quality auditor-Household adviser
http://ec.europa.eu/esco/skill/19183,Business management (camping/holiday village),Camping ground supervisor-Director (holiday village)
http://ec.europa.eu/esco/skill/15159,Business management (golf course),Golf course supervisor
http://ec.europa.eu/esco/skill/14987,Business management (sports facility),Golf course supervisor
http://ec.europa.eu/esco/skill/15017,Business management (sports hall),Golf course supervisor
http://ec.europa.eu/esco/skill/15260,Business management (training company),Driving school manager
http://ec.europa.eu/esco/skill/23342,Business travel sales,Ground hostess-Air traffic assistant-Cottage manager-Private travel agent-Traffic assistant-Travel agent-Ticket seller (travel agency)-Travel agency assistant-Tourist information officer-Secretary (tourist information office)-Sales director (travel agency)-Travel agency employee-Service manager (air traffic)-Booking officer (travel agency)-Business travel salesperson-Traffic information officer-Booking assistant (travel agency)-Travel agency clerk
http://ec.europa.eu/esco/skill/21096,CAD drawing,Patent consultant-Landscape gardener-Land use planner-Town planner
http://ec.europa.eu/esco/skill/22092,CadPoint,Landscape gardener-Land use planner-Town planner
http://ec.europa.eu/esco/skill/17295,Café (cold food preparation),Cook (ship)-Head chef-Chef-Assistant chef-Grill cook-Chinese cook-Cold-buffet manageress (ship)-First cook-Cold-buffet manageress-Cook steward-Special cook-Chief cook-Cook
http://ec.europa.eu/esco/skill/17568,Café (waiting),Restaurant assistant-Cabin attendant-Supply services staff (shipping)-Breakfast host/hostess-Attendant-Cash desk assistant (restaurant)-Meals service assistant-Serving assistant-Waiter/waitress-Head waiter-Bar assistant-Cold buffet assistant-Bartender-Cash desk assistant (cafeteria)-Waiter/waitress (ship)-Steward's assistant-Breakfast assistant-Waiter/waitress (café)
http://ec.europa.eu/esco/skill/19661,Cameras and photographic articles,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)"
http://ec.europa.eu/esco/skill/22583,Candy and confectionery,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)-Café assistant"
http://ec.europa.eu/esco/skill/16713,Canoeing (training/coaching),Wilderness guide-Guide-Fishing guide-Courier
http://ec.europa.eu/esco/skill/17484,Canteen kitchen (cold food preparation),Cook (ship)-Chef-Grill cook-Cold-buffet manageress (ship)-Assistant chef-Head chef-Chinese cook-First cook-Cook steward-Dietetic cook-Cold-buffet manageress-Chief cook-Cook
http://ec.europa.eu/esco/skill/17704,Canteen kitchen (cooking),Restaurant assistant-Cabin attendant-Cook (ship)-Attendant-Assistant cook-Fast-food stand assistant-Kitchen assistant-Serving assistant-Assistant chef-Chef-Head chef-Grill cook-Chinese cook-First cook-Cook steward-Dietetic cook-Kitchen assistant (institution)-Chief cook-Cook-School lunch assistant
http://ec.europa.eu/esco/skill/22415,Capability analysis,Business administrator-Quality auditor-Quality coordination adviser-Household adviser
http://ec.europa.eu/esco/skill/18767,Car disassembly,Labourer (general)
http://ec.europa.eu/esco/skill/23630,Cardiopulmonary rescuscitation,Swimming pool attendant
http://ec.europa.eu/esco/skill/15052,Care of the addicted,Psychotherapist-Psychologist-Therapist-School psychologist-Group therapist-Conversational therapist-Alcohol therapist-Individual therapist-Family therapist-Clinical psychologist-Psychoanalyst
http://ec.europa.eu/esco/skill/23091,Caretaking,Odd-job man-Water meter installer-School porter-Sports ground worker-Public baths caretaker-Caretaker (sports centre)-Caretaker (property)-Operations engineer (buildings)-Operations technician (buildings)-Meter installer-Caretaker-Cloakroom caretaker-Office caretaker-Operations manager (buildings)-Caretaker (sports ground)-Verger-Page
http://ec.europa.eu/esco/skill/17454,Caretaking (church),Water meter installer-Odd-job man-School porter-Sports ground worker-Public baths caretaker-Meter installer-Operations engineer (buildings)-Caretaker-Caretaker (property)-Operations technician (buildings)-Operations manager (buildings)-Verger
http://ec.europa.eu/esco/skill/20777,Caretaking (hospital),Page
http://ec.europa.eu/esco/skill/17448,Caretaking (school),Water meter installer-Odd-job man-School porter-Public baths caretaker-Sports ground worker-Caretaker-Operations engineer (buildings)-Meter installer-Caretaker (property)-Operations technician (buildings)-Operations manager (buildings)-Verger
